Year,Motherboard_Model,CPU,GPU,RAM_GB,Storage_GB,Price_PHP
2023,MSI MAG B550 Tomahawk,Intel i9-12900K,RTX 3060,32,512,54756.24
2021,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RTX 4090,64,512,125300
2023,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 3080,16,1024,73357.2
2021,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RX 7900 XTX,16,2048,80764.32
2024,ASRock X570 Phantom,Intel i9-12900K,RTX 3080,64,2048,112145.6
2021,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 3070,32,512,40286.4
2021,ASRock X570 Phantom,Intel i7-12700K,RX 7900 XTX,16,512,72896.88
2023,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RX 6700 XT,32,2048,62171.2
2024,ASRock X570 Phantom,AMD Ryzen 9 5950X,RX 6700 XT,32,2048,78870.4
2022,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 3060,32,1024,40750.08
2022,ASRock X570 Phantom,AMD Ryzen 7 5800X,RTX 3060,32,2048,50502.48
2020,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RTX 4090,16,512,87669.12
2022,Gigabyte B660M DS3H,Intel i5-11400F,RX 7900 XTX,16,2048,73554.32
2024,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 4090,64,2048,149224.88
2020,ASRock X570 Phantom,AMD Ryzen 7 5800X,RX 7900 XTX,16,1024,69408.08
2024,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RTX 3070,16,1024,54955.6
2020,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 3060,64,2048,77128.8
2021,MSI MPG Z690 EDGE,Intel i7-12700K,RX 7900 XTX,32,1024,79731.68
2024,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RTX 3070,32,1024,65857.68
2022,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RTX 3080,64,2048,83504.4
2020,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RTX 3080,16,1024,63899.36
2020,Gigabyte B660M DS3H,AMD Ryzen 9 5950X,RTX 4090,32,1024,120136.24
2024,ASRock X570 Phantom,Intel i9-12900K,RTX 3060,64,2048,89210.8
2021,Gigabyte B660M DS3H,Intel i9-12900K,RX 7900 XTX,64,2048,113506.4
2023,ASUS ROG STRIX B550-F,AMD Ryzen 7 5800X,RX 7900 XTX,16,1024,84427.28
2024,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 3080,16,2048,85139.6
2024,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RX 7900 XTX,32,2048,114873.92
2022,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 3080,16,512,64914.08
2022,MSI MAG B550 Tomahawk,Intel i7-12700K,RTX 3070,16,512,47503.68
2020,MSI MPG Z690 EDGE,Intel i5-11400F,RX 6700 XT,64,2048,58314.48
2024,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RTX 3080,64,512,105137.76
2024,MSI MPG Z690 EDGE,Intel i7-12700K,RTX 3070,16,2048,62501.04
2024,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RTX 4090,16,1024,131137.44
2022,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RTX 3070,32,2048,80609.76
2022,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 3070,64,512,61869.92
2022,MSI MAG B550 Tomahawk,Intel i7-12700K,RTX 3080,64,2048,88893.84
2023,Gigabyte B660M DS3H,Intel i9-12900K,RTX 4090,64,2048,160820.8
2023,ASUS TUF Gaming B660M,Intel i7-12700K,RX 6700 XT,16,1024,48401.92
2020,ASRock X570 Phantom,AMD Ryzen 5 5600X,RTX 3080,64,512,70162.96
2024,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 3060,16,1024,53355.68
2023,ASRock X570 Phantom,Intel i7-12700K,RTX 4090,16,512,112372.96
2023,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 4090,16,1024,101317.44
2024,ASUS TUF Gaming B660M,Intel i7-12700K,RTX 4090,16,1024,121517.2
2021,MSI MAG B550 Tomahawk,Intel i9-12900K,RTX 3060,64,2048,72840.32
2022,MSI MPG Z690 EDGE,Intel i7-12700K,RTX 3060,32,1024,49940.8
2021,ASRock X570 Phantom,AMD Ryzen 5 5600X,RTX 4090,64,512,118448.96
2020,ASRock X570 Phantom,Intel i9-12900K,RTX 3070,16,2048,54880
2024,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RTX 3060,32,512,39107.04
2022,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 3070,32,2048,53980.08
2024,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 3060,32,2048,44708.16
2024,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RX 6700 XT,64,512,84379.12
2021,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RTX 3060,64,1024,54440.96
2021,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 3070,64,2048,70208.88
2020,ASRock X570 Phantom,Intel i9-12900K,RTX 3060,64,2048,69653.36
2024,ASUS ROG STRIX B550-F,AMD Ryzen 7 5800X,RTX 3060,32,1024,50883.84
2020,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RTX 3080,32,2048,60815.44
2020,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 3080,16,2048,45700.48
2020,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 3080,16,512,58029.44
2022,ASUS ROG STRIX B550-F,Intel i9-12900K,RX 7900 XTX,16,2048,88637.36
2023,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RX 7900 XTX,16,512,68575.92
2020,ASRock X570 Phantom,AMD Ryzen 5 5600X,RTX 3060,32,512,33591.04
2020,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 3080,32,2048,61817.84
2023,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RTX 3080,16,2048,63136.08
2021,MSI MAG B550 Tomahawk,Intel i9-12900K,RTX 3060,64,1024,68950
2022,Gigabyte B660M DS3H,Intel i9-12900K,RTX 4090,32,2048,132258
2023,MSI MPG Z690 EDGE,Intel i9-12900K,RTX 3070,32,2048,72915.36
2023,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RTX 3080,16,2048,69329.68
2023,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RX 6700 XT,16,2048,42632.8
2022,ASUS TUF Gaming B660M,Intel i5-11400F,RTX 3060,32,2048,42763.28
2022,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RX 6700 XT,64,1024,59694.88
2021,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RTX 3080,32,512,56714
2022,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 3080,64,512,79942.24
2020,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RTX 4090,32,2048,121831.92
2021,ASRock X570 Phantom,Intel i7-12700K,RX 6700 XT,64,1024,67916.24
2020,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 3070,64,1024,60492.32
2022,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RTX 3060,64,512,60822.16
2023,ASUS TUF Gaming B660M,Intel i9-12900K,RTX 4090,16,2048,130536
2021,MSI MPG Z690 EDGE,Intel i9-12900K,RTX 4090,32,2048,125860.56
2022,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 3060,64,512,51255.12
2023,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RX 6700 XT,16,1024,35374.08
2022,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 3070,64,1024,67561.76
2023,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 3070,16,1024,41815.2
2021,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RTX 3060,64,1024,57821.68
2022,Gigabyte B660M DS3H,Intel i5-11400F,RX 6700 XT,64,1024,61956.16
2022,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RX 7900 XTX,64,2048,125731.76
2021,ASRock X570 Phantom,AMD Ryzen 7 5800X,RTX 3070,16,512,42163.52
2021,ASRock X570 Phantom,AMD Ryzen 5 5600X,RTX 3060,32,2048,44857.12
2024,ASRock X570 Phantom,AMD Ryzen 5 5600X,RX 6700 XT,16,2048,46193.84
2020,MSI MPG Z690 EDGE,Intel i9-12900K,RTX 4090,64,2048,141653.68
2023,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 4090,64,512,129166.8
2021,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RTX 3060,32,1024,52970.96
2024,Gigabyte B660M DS3H,Intel i7-12700K,RX 6700 XT,64,2048,82190.08
2021,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RX 6700 XT,16,512,25332.16
2024,MSI MPG Z690 EDGE,Intel i9-12900K,RTX 3070,16,1024,62247.36
2021,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RTX 3080,16,1024,55282.08
2021,ASUS ROG STRIX B550-F,AMD Ryzen 7 5800X,RTX 3080,16,2048,63166.88
2022,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RTX 3060,64,2048,71322.72
2021,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RTX 3070,16,2048,57573.04
2024,ASRock X570 Phantom,AMD Ryzen 7 5800X,RTX 3080,64,512,95403.84
2020,Gigabyte B660M DS3H,Intel i5-11400F,RX 7900 XTX,64,1024,81732.56
2021,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RX 6700 XT,64,512,53786.88
2023,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RTX 3080,64,1024,92525.44
2023,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RTX 4090,32,1024,132414.24
2020,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 3070,32,1024,47823.44
2023,MSI MAG B550 Tomahawk,Intel i7-12700K,RTX 3080,64,512,91498.96
2022,ASUS TUF Gaming B660M,Intel i9-12900K,RX 7900 XTX,32,1024,92492.96
2021,ASRock X570 Phantom,AMD Ryzen 7 5800X,RX 6700 XT,16,1024,36971.2
2021,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 3080,32,512,56444.08
2021,Gigabyte B660M DS3H,Intel i5-11400F,RTX 3080,32,2048,60340
2023,MSI MAG B550 Tomahawk,Intel i7-12700K,RTX 3080,64,2048,100516.64
2022,ASUS TUF Gaming B660M,Intel i7-12700K,RTX 4090,64,1024,131552.96
2023,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 3060,16,1024,30095.52
2024,ASRock X570 Phantom,Intel i7-12700K,RTX 3070,64,1024,83737.92
2020,ASUS TUF Gaming B660M,Intel i9-12900K,RTX 4090,64,2048,135653.84
2023,ASRock X570 Phantom,AMD Ryzen 7 5800X,RTX 3060,16,1024,39160.24
2021,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RTX 3080,32,1024,77918.96
2020,Gigabyte B660M DS3H,Intel i5-11400F,RX 6700 XT,64,512,48074.32
2022,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 3060,32,2048,60648
2023,ASUS TUF Gaming B660M,Intel i9-12900K,RX 6700 XT,64,2048,88740.96
2020,ASRock X570 Phantom,Intel i5-11400F,RTX 4090,32,1024,98669.76
2024,Gigabyte B660M DS3H,Intel i7-12700K,RTX 3070,64,2048,91922.88
2023,Gigabyte B660M DS3H,Intel i5-11400F,RTX 3060,16,512,22791.44
2022,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RTX 4090,16,2048,111021.68
2024,ASUS ROG STRIX B550-F,Intel i9-12900K,RX 6700 XT,32,512,67830.56
2023,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RTX 3080,64,1024,103607.28
2024,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RTX 4090,64,2048,154512.4
2022,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 3080,32,2048,68130.72
2020,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RTX 3080,64,2048,83790.56
2020,ASRock X570 Phantom,AMD Ryzen 5 5600X,RTX 3080,64,2048,79332.4
2024,Gigabyte B660M DS3H,AMD Ryzen 9 5950X,RTX 3060,64,1024,83912.08
2021,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RX 7900 XTX,64,1024,114266.88
2021,ASUS ROG STRIX B550-F,Intel i7-12700K,RTX 3060,64,2048,71831.2
2020,ASRock X570 Phantom,Intel i5-11400F,RTX 4090,32,1024,96532.24
2021,ASRock X570 Phantom,AMD Ryzen 9 5950X,RTX 3070,32,2048,73807.44
2024,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RX 7900 XTX,16,2048,105072.8
2021,ASUS ROG STRIX B550-F,Intel i7-12700K,RX 6700 XT,32,2048,59279.36
2023,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RTX 3080,16,1024,52129.84
2024,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RTX 3080,64,2048,103974.64
2022,MSI MPG Z690 EDGE,AMD Ryzen 5 5600X,RTX 3070,16,1024,44143.68
2024,ASRock X570 Phantom,Intel i7-12700K,RTX 3080,32,2048,77731.92
2021,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RTX 4090,32,1024,119780.64
2022,ASRock X570 Phantom,AMD Ryzen 9 5950X,RTX 3080,32,512,71584.8
2024,ASUS ROG STRIX B550-F,AMD Ryzen 7 5800X,RTX 4090,32,1024,130249.28
2021,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 3080,64,512,71344.56
2022,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 3080,64,1024,101850.56
2021,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RTX 3080,64,2048,87976.56
2022,MSI MPG Z690 EDGE,Intel i5-11400F,RX 6700 XT,64,2048,69443.92
2021,ASRock X570 Phantom,Intel i5-11400F,RX 7900 XTX,64,512,81110.96
2021,ASRock X570 Phantom,Intel i5-11400F,RTX 4090,32,2048,102809.84
2023,Gigabyte B660M DS3H,AMD Ryzen 9 5950X,RTX 3070,16,2048,69225.52
2021,Gigabyte B660M DS3H,AMD Ryzen 9 5950X,RTX 4090,32,2048,129507.28
2021,Gigabyte B660M DS3H,Intel i9-12900K,RTX 3080,64,512,87489.92
2020,ASRock X570 Phantom,AMD Ryzen 7 5800X,RTX 3070,64,2048,67762.8
2020,MSI MPG Z690 EDGE,AMD Ryzen 5 5600X,RTX 3070,16,1024,36992.48
2023,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RTX 3080,16,512,68403.44
2022,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RTX 3060,32,1024,49085.12
2023,ASUS ROG STRIX B550-F,AMD Ryzen 7 5800X,RX 6700 XT,32,512,53483.36
2024,ASRock X570 Phantom,Intel i9-12900K,RTX 3070,16,1024,61088.16
2021,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RX 7900 XTX,32,2048,77468.16
2021,ASRock X570 Phantom,AMD Ryzen 9 5950X,RTX 3080,32,2048,78547.84
2021,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RX 7900 XTX,32,1024,81212.88
2024,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 4090,64,512,137848.48
2021,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 3080,16,512,44158.8
2022,MSI MAG B550 Tomahawk,Intel i7-12700K,RTX 4090,32,1024,119886.48
2022,ASRock X570 Phantom,AMD Ryzen 9 5950X,RX 6700 XT,16,1024,53399.92
2022,ASUS ROG STRIX B550-F,Intel i7-12700K,RTX 3060,64,512,59725.68
2023,Gigabyte B660M DS3H,Intel i7-12700K,RTX 4090,64,2048,148631.28
2022,MSI MAG B550 Tomahawk,Intel i5-11400F,RX 7900 XTX,32,1024,71720.88
2024,MSI MPG Z690 EDGE,Intel i7-12700K,RTX 3070,32,512,59671.92
2023,ASUS ROG STRIX B550-F,AMD Ryzen 7 5800X,RTX 3080,32,2048,75250.56
2024,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RX 7900 XTX,16,512,87333.12
2024,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RTX 4090,64,2048,156706.48
2022,ASUS ROG STRIX B550-F,AMD Ryzen 7 5800X,RTX 3060,16,2048,42093.52
2024,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RX 6700 XT,16,512,46061.12
2022,ASRock X570 Phantom,AMD Ryzen 5 5600X,RTX 3060,64,512,53408.32
2024,ASRock X570 Phantom,Intel i5-11400F,RX 6700 XT,32,512,42418.88
2023,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RTX 4090,32,2048,132204.24
2020,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RX 7900 XTX,32,2048,77159.6
2020,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 3060,64,512,61972.4
2024,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 4090,32,2048,123475.52
2020,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 3060,32,512,29471.68
2022,MSI MPG Z690 EDGE,Intel i7-12700K,RTX 3070,64,2048,74884.32
2023,ASRock X570 Phantom,AMD Ryzen 5 5600X,RTX 4090,32,1024,111692.56
2020,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RX 6700 XT,16,2048,58539.6
2022,Gigabyte B660M DS3H,Intel i7-12700K,RX 6700 XT,32,2048,62911.52
2021,ASUS ROG STRIX B550-F,Intel i7-12700K,RTX 3060,16,1024,35857.36
2023,ASRock X570 Phantom,AMD Ryzen 9 5950X,RX 6700 XT,32,2048,74454.24
2023,ASRock X570 Phantom,Intel i7-12700K,RTX 4090,32,512,122502.24
2022,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RTX 3060,16,2048,63637.28
2023,ASRock X570 Phantom,Intel i5-11400F,RTX 3070,16,512,40603.92
2020,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 4090,64,2048,117812.24
2020,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 3060,32,1024,49935.2
2021,MSI MPG Z690 EDGE,Intel i7-12700K,RTX 3060,16,2048,37395.12
2022,Gigabyte B660M DS3H,AMD Ryzen 9 5950X,RX 6700 XT,32,2048,69839.28
2024,ASRock X570 Phantom,Intel i9-12900K,RTX 3070,32,512,68196.8
2024,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RTX 3080,32,512,60271.12
2024,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 3070,64,2048,100242.8
2023,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RTX 3060,32,2048,43871.52
2023,ASRock X570 Phantom,Intel i9-12900K,RX 7900 XTX,32,1024,103365.92
2021,MSI MPG Z690 EDGE,AMD Ryzen 5 5600X,RTX 3070,64,1024,66653.44
2021,ASUS ROG STRIX B550-F,Intel i9-12900K,RX 7900 XTX,16,1024,80844.4
2020,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 4090,64,2048,124793.2
2021,ASUS ROG STRIX B550-F,Intel i7-12700K,RTX 3080,16,1024,57624
2020,MSI MPG Z690 EDGE,Intel i9-12900K,RTX 3060,64,2048,68661.04
2021,MSI MPG Z690 EDGE,Intel i9-12900K,RTX 4090,64,2048,146772.64
2024,Gigabyte B660M DS3H,Intel i5-11400F,RTX 3070,64,2048,79316.16
2024,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RTX 3070,32,1024,52329.2
2020,ASUS ROG STRIX B550-F,Intel i7-12700K,RX 7900 XTX,16,2048,74010.16
2023,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RX 6700 XT,64,512,79980.32
2023,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RTX 3080,32,1024,68829.6
2023,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RTX 3080,32,1024,86824.08
2022,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RTX 4090,16,2048,112440.72
2023,Gigabyte B660M DS3H,Intel i7-12700K,RTX 3080,32,1024,68785.92
2020,ASRock X570 Phantom,Intel i7-12700K,RX 7900 XTX,16,512,68504.24
2022,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RX 6700 XT,64,1024,68412.4
2022,MSI MAG B550 Tomahawk,Intel i7-12700K,RTX 3080,16,1024,59002.72
2024,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RX 6700 XT,64,2048,73117.52
2022,ASRock X570 Phantom,AMD Ryzen 5 5600X,RX 7900 XTX,64,2048,98096.88
2023,ASRock X570 Phantom,Intel i7-12700K,RX 7900 XTX,32,512,87179.68
2021,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RTX 4090,16,2048,107338
2020,Gigabyte B660M DS3H,Intel i5-11400F,RTX 3060,64,512,46863.6
2020,ASRock X570 Phantom,Intel i7-12700K,RX 7900 XTX,16,512,66787.28
2021,ASUS ROG STRIX B550-F,Intel i7-12700K,RX 6700 XT,32,1024,49440.16
2020,ASRock X570 Phantom,AMD Ryzen 9 5950X,RX 7900 XTX,64,1024,100637.04
2023,MSI MPG Z690 EDGE,Intel i5-11400F,RX 6700 XT,64,1024,60710.72
2020,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RX 7900 XTX,32,2048,84590.24
2022,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RX 7900 XTX,64,1024,104528.48
2021,MSI MAG B550 Tomahawk,Intel i5-11400F,RX 6700 XT,16,512,25935.28
2021,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RTX 3080,32,1024,66026.8
2023,MSI MPG Z690 EDGE,Intel i9-12900K,RTX 4090,32,2048,141235.36
2021,MSI MPG Z690 EDGE,Intel i7-12700K,RTX 3080,64,512,75087.6
2020,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 4090,32,2048,106305.92
2023,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RTX 3060,64,512,74812.08
2020,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RX 7900 XTX,32,2048,76636.56
2020,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 3070,16,2048,37702.56
2024,MSI MPG Z690 EDGE,Intel i9-12900K,RTX 3060,16,2048,52749.76
2022,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RX 7900 XTX,16,512,69448.4
2022,ASRock X570 Phantom,Intel i7-12700K,RX 6700 XT,16,2048,49669.2
2023,MSI MPG Z690 EDGE,Intel i9-12900K,RTX 3070,64,512,86041.76
2024,ASRock X570 Phantom,AMD Ryzen 9 5950X,RX 6700 XT,32,1024,67855.2
2021,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 3060,64,2048,79130.8
2022,ASUS ROG STRIX B550-F,Intel i5-11400F,RTX 4090,16,512,91281.12
2022,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RX 6700 XT,32,1024,52507.28
2020,MSI MAG B550 Tomahawk,Intel i9-12900K,RTX 4090,32,512,108651.76
2022,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RTX 4090,16,2048,105269.36
2024,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RTX 3060,64,1024,62639.92
2021,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 3060,32,512,29391.04
2023,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RTX 3070,64,1024,90070.96
2022,ASUS TUF Gaming B660M,Intel i5-11400F,RTX 3060,16,1024,30293.2
2023,MSI MAG B550 Tomahawk,Intel i9-12900K,RTX 3060,16,512,44500.4
2021,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RX 6700 XT,64,2048,66650.08
2023,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 3060,32,2048,40854.24
2020,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RTX 3080,32,512,61470.64
2022,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 3060,64,2048,66179.12
2021,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RTX 3070,64,1024,65083.76
2021,ASRock X570 Phantom,Intel i9-12900K,RTX 3080,32,1024,71337.28
2021,ASUS ROG STRIX B550-F,Intel i7-12700K,RTX 4090,32,1024,114283.12
2022,Gigabyte B660M DS3H,Intel i5-11400F,RTX 3080,32,512,54798.8
2023,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RTX 3070,32,512,59260.32
2021,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 4090,32,2048,105888.16
2023,ASRock X570 Phantom,AMD Ryzen 5 5600X,RTX 3080,32,2048,70200.48
2024,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 3080,64,2048,110709.76
2021,ASUS TUF Gaming B660M,Intel i9-12900K,RTX 3070,32,1024,66412.08
2022,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RX 7900 XTX,32,2048,102873.12
2021,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 3080,32,1024,58874.48
2020,ASUS ROG STRIX B550-F,Intel i7-12700K,RX 6700 XT,64,512,59825.92
2024,ASRock X570 Phantom,AMD Ryzen 9 5950X,RTX 4090,64,512,158055.52
2023,ASRock X570 Phantom,AMD Ryzen 9 5950X,RTX 3060,32,2048,65864.4
2023,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RTX 3080,16,1024,76111.84
2021,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 4090,16,1024,95327.68
2024,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RTX 4090,64,2048,157419.36
2023,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 3080,64,2048,91333.2
2024,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 3060,16,2048,39026.96
2022,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RX 6700 XT,16,2048,59585.68
2023,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 3060,16,512,32186
2022,ASRock X570 Phantom,AMD Ryzen 7 5800X,RX 7900 XTX,64,2048,107596.72
2024,ASRock X570 Phantom,AMD Ryzen 7 5800X,RTX 3070,32,1024,58619.12
2023,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RX 6700 XT,64,2048,88463.76
2021,ASUS TUF Gaming B660M,Intel i5-11400F,RTX 4090,16,1024,88662
2023,ASRock X570 Phantom,Intel i5-11400F,RX 7900 XTX,16,1024,68258.96
2022,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RTX 3070,64,1024,67544.96
2022,ASUS ROG STRIX B550-F,Intel i5-11400F,RTX 4090,64,2048,135360.96
2023,Gigabyte B660M DS3H,Intel i5-11400F,RTX 3080,16,2048,58767.52
2020,ASUS ROG STRIX B550-F,Intel i9-12900K,RX 7900 XTX,16,2048,81366.32
2021,Gigabyte B660M DS3H,Intel i7-12700K,RX 6700 XT,16,2048,49428.96
2021,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RTX 4090,32,512,103807.2
2023,Gigabyte B660M DS3H,Intel i7-12700K,RTX 3070,64,2048,86181.76
2023,Gigabyte B660M DS3H,Intel i5-11400F,RX 7900 XTX,64,512,96119.52
2023,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RTX 4090,16,2048,108474.8
2021,ASRock X570 Phantom,Intel i9-12900K,RX 7900 XTX,16,2048,89407.92
2020,MSI MPG Z690 EDGE,Intel i7-12700K,RTX 3080,32,512,60935.28
2023,Gigabyte B660M DS3H,Intel i9-12900K,RX 7900 XTX,32,2048,103381.6
